imageA,imageB,label,dogA,dogB
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_a9r9Rpz61BcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_ccDFRJJgbtIAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_a9r9Rpz61BcAAAAAAAAAAAAAAQAAAQ.jpg,A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_a9r9Rpz61BcAAAAAAAAAAAAAAQAAAQ.jpg,A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_a9r9Rpz61BcAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_BTGhRL3hvxwAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_VSe4QrbJjMcAAAAAAAAAAAAAAQAAAQ.jpg,A_ARs4S5uu-scAAAAAAAAAAAAAAQAAAQ.jpg,1,0,0
A_Zq-wSaT7ot8AAAAAAAAAAAAAAQAAAQ.jpg,A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_Zq-wSaT7ot8AAAAAAAAAAAAAAQAAAQ.jpg,A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_Zq-wSaT7ot8AAAAAAAAAAAAAAQAAAQ.jpg,A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_Zq-wSaT7ot8AAAAAAAAAAAAAAQAAAQ.jpg,A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_kiLeTKqEGUkAAAAAAAAAAAAAAQAAAQ.jpg,A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_xNCNSreklsIAAAAAAAAAAAAAAQAAAQ.jpg,A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_l_WDRZSqqCQAAAAAAAAAAAAAAQAAAQ.jpg,A_gBw2Q6_QWsUAAAAAAAAAAAAAAQAAAQ.jpg,1,1,1
A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,A_2PhBQZl-wekAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_wOfbQoNWSAQAAAAAAAAAAAAAAQAAAQ.jpg,A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,A_2PhBQZl-wekAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_rGSuTZXVuRUAAAAAAAAAAAAAAQAAAQ.jpg,A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,1,2,2
A_2PhBQZl-wekAAAAAAAAAAAAAAQAAAQ.jpg,A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,1,2,2
A_2PhBQZl-wekAAAAAAAAAAAAAAQAAAQ.jpg,A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,1,2,2
A_7OgCTLT7J9AAAAAAAAAAAAAAAQAAAQ.jpg,A_rGSuTZXVuRUGn2pDh9p9vgAAAQAAAQ.jpg,1,2,2
A_FSCJRYy3dFwAAAAAAAAAAAAAAQAAAQ.jpg,A_wlP4RZZzpEgAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
A_FSCJRYy3dFwAAAAAAAAAAAAAAQAAAQ.jpg,A_jXO8TqgUNaEAAAAAAAAAAAAAAQAAAQ.jpg,1,3,3
